"experiment","run","step","total_delivered_value","total_seized_value","count_links","first_yellow_tick","count_links_with_color_yellow","seizure_rate_pct","yellow_link_rate_pct","drug_through_yellow_rate_pct","clustering_rate_pct","never_adapted","cartel_type","enforcement_target","enforcement_duration"
"Exp1_Adaptive_Busiest_Short",1,1000,4507,1031,232,4,170,18.62,73.28,43.33,9.72,FALSE,"Adaptive","Busiest","Short"
"Exp1_Adaptive_Busiest_Short",2,1000,4369,1091,229,5,164,19.98,71.62,32.3,12.76,FALSE,"Adaptive","Busiest","Short"
"Exp1_Adaptive_Busiest_Short",3,1000,4303,1163,218,5,169,21.28,77.52,49.32,11.84,FALSE,"Adaptive","Busiest","Short"
"Exp1_Adaptive_Busiest_Short",4,1000,4460,1126,228,5,171,20.16,75,40.22,11.76,FALSE,"Adaptive","Busiest","Short"
"Exp1_Adaptive_Busiest_Short",5,1000,4342,1060,218,5,167,19.62,76.61,49.74,14.53,FALSE,"Adaptive","Busiest","Short"
"Exp1_Adaptive_Busiest_Short",6,1000,4383,1075,232,5,173,19.7,74.57,46.28,13.21,FALSE,"Adaptive","Busiest","Short"
"Exp1_Adaptive_Busiest_Short",7,1000,4496,1042,219,11,166,18.82,75.8,42.76,11.95,FALSE,"Adaptive","Busiest","Short"
"Exp1_Adaptive_Busiest_Short",8,1000,4379,1052,212,4,161,19.37,75.94,42.03,10.98,FALSE,"Adaptive","Busiest","Short"
"Exp1_Adaptive_Busiest_Short",9,1000,4381,1080,204,8,149,19.78,73.04,42.67,11.79,FALSE,"Adaptive","Busiest","Short"
"Exp1_Adaptive_Busiest_Short",10,1000,4414,1067,221,5,160,19.47,72.4,41.63,9.64,FALSE,"Adaptive","Busiest","Short"
"Exp1_Adaptive_Busiest_Short",11,1000,4406,1077,211,5,154,19.64,72.99,39.1,13.34,FALSE,"Adaptive","Busiest","Short"
"Exp1_Adaptive_Busiest_Short",12,1000,4317,1219,217,5,155,22.02,71.43,38.12,12.7,FALSE,"Adaptive","Busiest","Short"
"Exp1_Adaptive_Busiest_Short",13,1000,4505,1014,213,4,155,18.37,72.77,42.54,13.16,FALSE,"Adaptive","Busiest","Short"
"Exp1_Adaptive_Busiest_Short",14,1000,4423,1011,204,7,152,18.61,74.51,51.91,10.4,FALSE,"Adaptive","Busiest","Short"
"Exp1_Adaptive_Busiest_Short",15,1000,4252,1150,210,4,156,21.29,74.29,42.59,11.92,FALSE,"Adaptive","Busiest","Short"
"Exp1_Adaptive_Busiest_Short",16,1000,4385,1114,215,4,157,20.26,73.02,46.15,10.55,FALSE,"Adaptive","Busiest","Short"
"Exp1_Adaptive_Busiest_Short",17,1000,4396,1070,216,5,163,19.58,75.46,43.81,11.51,FALSE,"Adaptive","Busiest","Short"
"Exp1_Adaptive_Busiest_Short",18,1000,4356,1105,202,4,148,20.23,73.27,36.32,11.85,FALSE,"Adaptive","Busiest","Short"
"Exp1_Adaptive_Busiest_Short",19,1000,4335,1101,232,4,171,20.25,73.71,39.2,12.03,FALSE,"Adaptive","Busiest","Short"
"Exp1_Adaptive_Busiest_Short",20,1000,4308,1096,200,6,145,20.28,72.5,43.18,10.94,FALSE,"Adaptive","Busiest","Short"
"Exp1_Adaptive_Busiest_Short",21,1000,4470,1053,217,5,160,19.07,73.73,39.33,10.49,FALSE,"Adaptive","Busiest","Short"
"Exp1_Adaptive_Busiest_Short",22,1000,4277,1187,227,8,168,21.72,74.01,42.25,12.27,FALSE,"Adaptive","Busiest","Short"
"Exp1_Adaptive_Busiest_Short",23,1000,4422,1136,225,4,174,20.44,77.33,41.04,9.91,FALSE,"Adaptive","Busiest","Short"
"Exp1_Adaptive_Busiest_Short",24,1000,4434,1105,245,4,192,19.95,78.37,44.21,11.94,FALSE,"Adaptive","Busiest","Short"
"Exp1_Adaptive_Busiest_Short",25,1000,4445,1102,221,5,166,19.87,75.11,41.46,13.53,FALSE,"Adaptive","Busiest","Short"
"Exp1_Adaptive_Busiest_Short",26,1000,4292,1160,211,6,162,21.28,76.78,44.51,11.38,FALSE,"Adaptive","Busiest","Short"
"Exp1_Adaptive_Busiest_Short",27,1000,4525,1031,234,5,174,18.56,74.36,38.78,14.51,FALSE,"Adaptive","Busiest","Short"
"Exp1_Adaptive_Busiest_Short",28,1000,4439,1114,222,4,166,20.06,74.77,34.68,12.02,FALSE,"Adaptive","Busiest","Short"
